name;comedian_id;video_url;duration;nb_of_views;short_description;full_description;picture;category
C'est l'histoire d'un mec;Coluche;https://www.youtube.com/watch?v=d4knSzXy2oU;10:35;;Le sketche mythique qui propulsa Coluche dans la cour des grands. A regarder sans modération.;"C'est la genèse de la célébrité de Coluche. Avec ce sketch, le comique réussit le tour de force de faire rire une salle avec un gag qui ne raconte rien, où tout est dans le ""baragouinage"", explique l'humoriste Youtubeur Norman dans le documentaire Coluche, Le Bouffon devenu Roi. Un documentaire qui présente ce sketch comme très représentatif du ""style Coluche des débuts"", ""bien couillu"". ";;Légendaire, Standup
L'autostopeur;Coluche;https://www.youtube.com/watch?v=QnEOMCh9S7Y;05:09;;Coluche fait de l'auto-stop, et il ne fait pas semblant.;Avec Blablacar et Drivy, l'auto-stop a nettement perdu de sa superbe. Ce sketche nous replonge dans un univers un peu oublié, et de manière surprenante :) Oseriez-vous vous comporter comme Colcuche si on vous prenait en auto-stop ?;;Légendaire, Auto-stop, Transports
Le flic;Coluche;https://www.youtube.com/watch?v=2Kq2JuElvUw;11:34;;"Encore un petit bijou de Coluche qui se met dans la peau d'un ""flic"" pour notre bonheur.";"""Hep ! Vous là-bas !"" Coluche n'épargnait personne, et surtout pas ""le flic"". Il aimait camper des personnages emblématiques, comme le Pape ou les militaires.";;Légendaire, Police
Les hommes politiques;Coluche;https://www.youtube.com/watch?v=zSmbM3aa3hs&t=245s;05:30;;Il y avait déjà de quoi se moquer des politiques avant François Hollande !;Les hommes politiques sont souvent d'excellentes muses pour les humoristes de talent. Quoi de mieux que de se moquer de ceux qui nous dirigent pour nous soulager un peu ? Coluche se livre dans une analyse brillante et hilarantes des absurdités des hommes politiques.;;Légendaire, Politique
La publicité;Coluche;https://www.youtube.com/watch?v=7vVaWFw54ig;08:24;;La publicité nous rend fou ? Eh bien Coluche le lui rend bien !;Dans un monde plus que jamais soumis à la dictature capitaliste et à la société de consommation, voilà un sketch qui nous permet de prendre du recul sur toutes publicités qui nous asphyxient. Un monument.;;Légendaire, Publicité
Gérard;Coluche;https://www.youtube.com/watch?v=vqjjJ7if8ok;05:11;;Si tous les pères étaient aussi doux que Coluche !;Vous avez eu des relations père/fils compliquées ? Voilà qui vous donnera de quoi relativiser. Coluche nous montre tous ses talents de père dans un sketch devenu grand classique. Allez embrasser votre père ! (ou fils).;;Légendaire, Relations, Famille
Les journalistes;Coluche;https://www.youtube.com/watch?v=M-OpqsgZq2s;05:29;;Ah ces journalistes ! Toujours objectifs et pertinents !;Le journalisme vit des périodes compliquées avec les réseaux sociaux, mais jamais il n'a autant été remis en question qu'avec Coluche qui leur fait passer un sale quart d'heure. ;;Légendaire, Journalisme, Politique
Le Belge;Coluche;https://www.youtube.com/watch?v=23p5vjK1RvU;05:35;;Vive la Belgique !;"""Si vous croisez un con en Suisse, bon ben c'est un belge"". Coluche n'aura pas fait de jaloux entre les suisses et les belges. Voici une description de ce qu'est d'être belge. Apparemment, c'est presque comme être suisse.";;Légendaire, Voyages, Belgique
Les commerces;Les inconnus;https://www.youtube.com/watch?v=TpNYDEd5dx8;08:26;;Vous aussi vous cherchez des piles ?;Ce sketche est un voyage à travers les différents types de commerces qui existent. Il n'est plus tout jeune, mais c'est frappant de constater combien il est encore d'actualité ! ;;Légendaire, Actualité, Shopping
Les chasseurs;Les inconnus;https://www.youtube.com/watch?v=QuGcoOJKXT8;06:30;;La chasse : un art si subtile et délicat;Dans ce sketche, Les inconnus nous donnent un véritable cours sur les bonnes pratiques de la chasse. Véritable leçon de nature et de technique, vous apprendrez beaucoup sur la vie d'hommes passionnés et poètes de la nature.;;Légendaire, Chasse, Sport, Poésie
Eh manu !;Les inconnus;https://www.youtube.com/watch?v=uHdKki05MX4;08:04;;La Z.U.P vous fait voyage;Si vous voulez voyager, n'allez pas à l'étranger, allez tout simplement en Z.U.P. Vous rencontrerez des specimen encore plus étrange et plus rares que sur n'importe quelle île exotique. Surtout avec les inconnus.;;Légendaire, Politiquen Banlieue
Les vigiles;Les inconnus;https://www.youtube.com/watch?v=AObXWpExQdY;07:43;;Voilà des vigiles de qualité pour votre sécurité !;Si Marine se plaint de la sécurité en France, elle n'aurait rien à redire des ce groupe d'homme courageux dont la mission est de faire respecter l'ordre dans les rues de France. Sortez de chez vous, ils s'occupent de tout.;;Politique, Sécurité
Le cid;Les inconnus;https://www.youtube.com/watch?v=N7xW0owFrQs;12:55;;Si vous aimez le théâtre classique, vous aimerez cette audition !;Corneille est immortel. Voilà peut-être certaines des meilleures interprétations de son chef d'œuvre le Cid par les inconnus. Ils entrent sur la scène et on s'y croitait preques. Chimène, au secours !;;Théâtre
Isabelle;Les inconnus;https://www.youtube.com/watch?v=kKAI6gp7jIc;03:27;;Un belle chanson pour de beaux yeux. ;Probablement inspiré du Bourgeois Gentilhomme de Molière, voilà une chanson qui dont la poésié et l'amour vons redonneront l'envie d'aimer votre femme ou votre mari. Alors, laissez-vous emporter par la mélodie !;;Légendaire, Chanson, Amour
Le Blond;Gad Elmaleh;https://www.youtube.com/watch?v=4ynHYiIsdvg&t=6s;04:29;;Vous aussi, vous complexez sur quelqu'un ?;"Un sketche drôle, dans lequel Ged Elmaleh se moque du ""blond"". Ce ""blond"" est un sorte d'archétype du mec parfait, ce dont Gad dit qu'il est très éloigné ! Une chose est sûre, on a tous probablement un blond dans notre vie.";;Les autres, Les complexes
Les émissions de la nuit;Gad Elmaleh;https://www.youtube.com/watch?v=2OYQr9d6qNc;06:20;;Enfin un bel éloge des programmes télé de nuit;Vous êtes peut-être déjà passés par là. Une nuit compliquée, une insomnie, et vous voilà devant un programme télé de nuit. Ennuyeux ? Détrompez-vous, vous êtes probablement devant une pépite. Ouvrez bien les yeux !;;Télévision
Where is Brian;Gad Elmaleh;https://www.youtube.com/watch?v=11jG7lkwDwU;02:22;;On est pas tous bilengues, mais on connaît tous Brian;Brian a certainement traumatisé toute une génération. Et Gad Elmaleh en faisait partie. Mais rassurez-vous, après ce sketche vous n'aurez plus jamais peur de Brian, ni de sa sœur…;;Anglais, Voyage, Etranger
L'australopitèque;Gad Elmaleh;https://www.youtube.com/watch?v=qQLGPpqGVPg;04:22;;Ne rentrez pas trop tard chez vous bourré ! Ou alors, écoutez ce sketch;Qui n'est pas déjà rentré trop tard bourré chez lui en pensant ne pas faire de bruit ? Si vous voulez arrêter d'exaspérer votre femme en rentrant de votre soirée arosée avec vos copains, voilà un sketche qui vous changera la vie.;;Les hommes, Relations, Soirées, Alcool
Ikéa;Gad Elmaleh;https://www.youtube.com/watch?v=W6ZZA3bxxOE;04:25;;Ikéa et ses aventures étonnantes ! Gad Elmaleh nous régale sur ce thème vu et revu;Tout le monde se perd chez Ikéa. Autant dans leurs magasins que dans leurs notices pour monter des meubles. Gad Elmaleh nous raconte son expérience chez Ikéa. Très pertinent.;;Ikéa, Shopping
Les poissons;Gad Elmaleh;https://www.youtube.com/watch?v=4LgDbqV6v5Q;05:17;;Gad ne pèche pas, mais pourtant il a un avis bien arrêté sur leur cas.;Les poissons se font pècher depuis probablement des millénaires et ils continuent de se faire attraper de la même manière. Pas évident de rire en parlant de poissions. Eh bien Gad l'a fait pour vous !;;Chasse, Sport, Animaux
Le lâché de salopes;Jean-Marie Bigard;https://www.youtube.com/watch?v=L1UeinGeO44;08:07;;Un des plus grands chefs d'œuvre de l'humour.;Jean-Marie Bigard, alias, Sa Sainteté Jean-Marie nous offre une perspective nouvelle sur les femmes. Presque trop de délicatesse et d'attention sont réunies dans ce monument du rire. Mesdames, laissez ces messieurs profiter de ce petit moment de bonheur sans crise de féminisme justifié.;;Relations, Femmes, Amour
Les toilettes d'avion;Jean-Marie Bigard;https://www.youtube.com/watch?v=Ir35f_DrhZQ;02:12;;Vous n'irez plus aux toilettes dans l'avion comme avant.;Certains quand ils prennent l'avion, dorment, lisent ou pensent à ce qu'ils feront une fois à destination. Pas Jean-Marie. Lui, va aux toilettes pour s'inspirer pour son prochain spectacle.;;Toilettes, Avions, Voyages
La scrabble;Pierre Palmade;https://www.youtube.com/watch?v=SFwNPMXed08;07:52;;Il faut être bon joueur et fair play. Ou alors, mauvais joueur et tricheur…;Pierre Palmade nous montre toute son inventivité pour ne pas perdre au scrabble. Des techniques de jeu bien osées mais diablement efficaces.;;Jeu, Famille
Le joint;Pierre Palmade;https://www.youtube.com/watch?v=eoo2d7wQhtg;06:08;;La drogue c'est mal. Vraiment ?;Ne prenez jamais de drogue, sauf si vous ça ne vous fait rien. Mais attention, parfois les effets se font discrets, et pourtant bien visibles.;;Drogue, Alcool
L'addition;Muriel Robin;https://www.youtube.com/watch?v=R1jF2Z72LK8;12:45;;Partager l'addition est toujours un moment de bonheur et de paix.;Partager ? Diviser ? Répartir ? Source de conflit, l'addition est magnifiquement traité dans ce sketche. ;;Soirées, Restaurant, Amis
La réunion de chantier;Muriel Robin;https://www.youtube.com/watch?v=7xhb5chrJ9U;12:27;;Les travaux se passent rarement bien, et même Muriel Robin en a fait les frais.;Vos travaux ne se passeront peut-être pas aussi mal que ceux de Muriel Robin, mais ne sous-estimez pas son cri de désespoir sur sont chantier.;;Travaux
Le casse du siècle;Elie Semoun;https://www.youtube.com/watch?v=nxgVdOAIJNI;05:23;;Un sketche hilarant sur un très mauvais voleur.;Une équipe de choque tente un braquage compliqué. Evidemment tout ne se passe pas comme prévu. Mais l'histoire est belle est mérite d'être racontée.;;Aventure, Travail
Entretien d'embauche;Olivier de Benoist;https://www.youtube.com/watch?v=N4gwU-tyscI;13:21;;Un exemple à suivre pour passer un entretien d'embauche.;Olivier de Benoist nous explique comment réussir un entretien d'embauche qui plus est devant une femme, son terrain de prédilection.;;Travail
Kamoulox;Kad et Olivier;https://www.youtube.com/watch?v=8bDmeeGVNvc;02:00;;Loin d'être un jeu absurde. Ecoutez bien.;Un jeu peut-être trop compliqué pour le commun des mortels. Mais un jeu incroyable aux ressources inestimées.;;Jeu, Télévision
Facebook;Jérôme Comandeur;https://www.youtube.com/watch?v=hbicoc15D7I;07:01;;Une bonne analyse d'une app dont on est tous accros.;Facebook a déjà fait couler beaucoup d'encre en grande partie parce que c'est un service beaucoup apprécié. Mais Jérôme Comandeur n'est pas forcément de cet avis. ;;Internet, Iphone, Facebook
;;;;;;;;
;;;;;;;;
;;;;;;;;
